id,video_id,tag_id
1,1,1
2,1,5
3,1,13
4,2,1
5,2,5
6,2,13
7,3,1
8,3,5
9,3,13
10,4,1
11,4,5
12,4,13
13,5,1
14,5,5
15,5,13
16,6,1
17,6,5
18,6,13
19,7,1
20,7,5
21,7,13
22,8,1
23,8,5
24,8,13
25,9,1
26,9,5
27,9,13
28,10,1
29,10,5
30,10,13
31,11,1
32,11,5
33,11,13
34,12,1
35,12,5
36,12,13
37,13,1
38,13,5
39,13,13
40,14,1
41,14,5
42,14,13
43,15,1
44,15,5
45,15,13
46,16,1
47,16,5
48,16,13
49,17,1
50,17,5
51,17,13
