id,term,translation,kanji,type,notes,created_date,updated_date
284,Oshi zuki,Push thrust,押し突き,TSUKI,,02/02/20 06:52 PM,02/02/20 06:52 PM
285,Mae geri,Front kick,前蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
286,Mae kekomi,Front thrust kick,前蹴込,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
287,Mae keage,Front rising kick,前蹴上げ,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
288,Tobi mae geri,Flying front kick,飛び前蹴,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
289,Mae taore geri,Falling front kick,前倒れ蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
290,Fumikomi,Stamping kick,踏み込み,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
291,Uchi momo geri,Inside thigh kick,内股蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
292,Yoko geri,Side kick,横蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
293,Yoko kekomi,Side thrust kick,横蹴込,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
294,Yoko keage,Side rising kick,横蹴上げ,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
295,Tobi yoko geri,Flying side kick,飛び横蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
296,Yoko taore geri,Falling side kick,横倒れ蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
297,Fumi kiri,Cutting kick,踏み切り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
298,Kaiten yoko geri,Spinning side kick,回転横蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
299,Mawashi geri,Roundhouse kick,回し蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
300,Gyaku mawashi geri,Reverse roundhouse kick,逆回し蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
301,Yoko mawashi geri,Side roundhouse kick,横回し蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
302,Tobi mawashi geri,Jumping roundhouse kick,飛び回し蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
303,Mawashi taore geri,Falling roundhouse kick,回し倒れ蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
304,Gedan mawashi geri,Low roundhouse kick,下段回し蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
305,Kaiten mawashi geri,Spinning roundhouse kick,回転回し蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
306,Ushiro geri,Back kick,後ろ蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
307,Kaiten ushiro geri,Spinning back kick,回転後ろ蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
308,Sempū tobi geri,Whirlwind kick,旋風飛び蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
309,Tobi ushiro geri,Jumping back kick,飛び後ろ蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
310,Ebi geri,Shrimp kick,海老蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
311,Sasori geri,Scorpion kick,蠍蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
312,Dō mawashi kaiten geri,Rolling kick,胴廻し回転蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
313,Ura mawashi geri,Hook kick,裏回し蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
314,Ushiro mawashi geri,Spinning hook kick,後ろ回し蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
315,Tobi ura mawashi geri,Jumping hook kick,飛び裏回し蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
316,Tobi ushiro mawashi geri,Jumping spinning hook kic,飛び後ろ回し蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
317,Kensei yuka geri,Diversion by kicking the ,牽制床蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
318,Namigaeshi,Returning wave kick,波返し,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
319,Mikazuki geri,Crescent kick,三日月蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
320,Gyaku mikazuki geri,Reverse crescent kick,逆三日月蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
321,Tsumasaki geri,Toe kick,爪先蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
322,Kingeri,Groin kick,金蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
323,Ushiro kingeri,Back groin kick,後ろ金蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
324,Ushiro kake geri,Backward hooking kick,後ろ掛け蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
325,Kaiten ushiro mawashi ger,Turning back roundhouse k,回転後ろ回し蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
326,Nidan geri,Double kick,二段蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
327,Mae sōsoku geri,Simultaneous kick to the ,前双足蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
328,Sayū geri,Simultaneous kick to the ,左右蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
329,Hasami geri,Scissor kick,鋏蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
330,Ryō mae taore geri,Twin front falling kick,両前倒れ蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
331,Ryō ashi mawashi taore ge,Double falling roundhouse,両足回し倒れ蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
332,Kakato otoshi geri,Axe kick,踵落とし蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
333,Zageri,Seated kick,座蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
334,Uchi haisoku geri,Inside kick with instep,內背足蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
335,Mae sokutō geri,Front kick with foot swor,前足刀蹴り,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
336,Ōbāheddo kikku,Overhead kick,オーバーへッドキック,KERI,,02/02/20 06:52 PM,02/02/20 06:52 PM
337,Yoko uraken,Horizontal backhand,横裏拳,UCHI,,05/08/20 11:52 AM,05/08/20 11:52 AM
338,Tate uraken,Vertical backhand,縦裏拳,UCHI,,05/08/20 11:52 AM,05/08/20 11:52 AM
339,Tettsui uraken,Hammer backhand,金槌裏拳,UCHI,,05/08/20 11:52 AM,05/08/20 11:52 AM
340,Ippon ken,One-knuckle punch,一本剣,TSUKI,,05/08/20 12:00 PM,05/08/20 12:00 PM
341,Hia ken,Bear claw,,UCHI,,05/08/20 12:00 PM,05/08/20 12:00 PM
342,Yoko nukite,Horizontal spear hand,横貫手,TSUKI,,05/08/20 12:31 PM,05/08/20 12:31 PM
343,Ushiro mawashi enpi uchi,Back round elbow strike,後ろ回し猿臂打ち,UCHI,,05/08/20 12:38 PM,05/08/20 12:38 PM
344,Mae mawashi enpi uchi,Front round elbow strike,前回し猿臂打ち,UCHI,,05/08/20 01:02 PM,05/08/20 01:02 PM
345,Shōmen,Front,正面,GENERAL,"""Also """"zenmi""""""",05/08/20 06:03 PM,05/08/20 06:03 PM
346,Hanmi,Half stance,半身 ,GENERAL,"Especially in zenkutsu-dachi, with hips turned to open side 45 degrees.",05/08/20 06:06 PM,05/08/20 06:06 PM
